name,image,detail,instagram,instagram-count,youtube,youtube-count,linkedin,linkedin-count,twitter,twitter-count
Raj Shamani,raj shamani.jpg,,,,,,,,,
Think School,think_school.webp,,,,,,,,,
Anik,Anik.jpeg,,,,,,,,,
Ansh,Ansh.webp,,,,,,,,,
Vishnu,Vishnu.png,,,,,,,,,
Vaibhav,Vaibhav.png,,,,,,,,,
Varun,Varun.jpg,,,,,,,,,
Saptarshi,Sapta.avif,,,,,,,,,
Nikhil,Nikhil.jpeg,,,,,,,,,
100xEngineers,100xengineers.jpg,,,,,,,,,
Overpowered,Overpowered.jpg,,,,,,,,,
Sharan,Sharan.webp,,,,,,,,,
Ranveer,Ranveer.jpg,,,,,,,,,
Sakchi Jain,sakchi_jain.webp,,,,,,,,,
Twinkle Jain,twinkle_jain.jpg,,,,,,,,,
Khushika Pahwa,Khushika Pahwa.png,,,,,,,,,
Ishan Sharma,Ishan Sharma.png,,,,,,,,,
Rohit Suchanti,rohit suchanti.png,,,,,,,,,
Sagar Sinha,sagar sinha.png,,,,,,,,,
Fintax by Nishant,fintax by nishant.png,,,,,,,,,
Aevy TV,aevy tv.jpg,,,,,,,,,
Ayush Wadhwa,Ayush Wadhwa.png,,,,,,,,,
Kamiya Jani,Kamiya Jani.png,,,,,,,,,
Shrishti Gosavi,Shrishti Gosavi.png,,,,,,,,,
Sahini Banerjee,Sahini Banerjee.png,,,,,,,,,
Soham Sinha,Soham Sinha.png,,,,,,,,,
Kirti Bhaoutika,Kirti Bhaoutika.png,,,,,,,,,
Vicky Ratnani,Vicky Ratnani.png,,,,,,,,,
Pankaj Bhadouria,Pankaj Bhadouria.png,,,,,,,,,
